VIOLATION_ID,VIOLATION_LAST_MODIFIED_DATE,VIOLATION_DATE,VIOLATION CODE,VIOLATION_STATUS,VIOLATION_STATUS_DATE,VIOLATION_DESCRIPTION,VIOLATION_LOCATION,VIOLATION_INSPECTOR_COMMENTS,VIOLATION_ORDINANCE,INSPECTOR_ID,INSPECTION_NUMBER,INSPECTION_STATUS,INSPECTION_WAIVED,INSPECTION_CATEGORY,DEPARTMENT_BUREAU,ADDRESS,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,PROPERTY_GROUP,SSA,Latitude,Longitude,LOCATION
5902677,3/30/2018,1/3/2018,VT1010,COMPLIED,3/30/2018,ARRANGE COMPLETED PERMIT INSP.,,,"Arrange mechanical ventilation or warm air heating system final inspection when work completed. (13-12-100, 13-176-310, 13-184-140)",62127,12544094,PASSED,N,PERMIT,VENTILATION,3941 N RICHMOND ST,3941,N,RICHMOND,ST,149463,,41.95335791,-87.70174061,"(41.953357906858436, -87.70174060904739)"
5902803,2/14/2018,1/3/2018,PL151137,OPEN,,OPEN,,,,BL00896,12558787,PASSED,N,PERMIT,PLUMBING,1448 W 72ND ST,1448,W,72ND,ST,411098,,41.76324451,-87.66078003,"(41.76324451187087, -87.66078003272679)"
5902114,1/3/2018,1/3/2018,VT1010,OPEN,,ARRANGE COMPLETED PERMIT INSP.,,,"Arrange mechanical ventilation or warm air heating system final inspection when work completed. (13-12-100, 13-176-310, 13-184-140)",10227,12388032,FAILED,N,PERMIT,VENTILATION,2655 W WINONA ST,2655,W,WINONA,ST,187720,,41.97467803,-87.69617602,"(41.97467803085165, -87.69617601721663)"
5903258,1/4/2018,1/3/2018,EV1110,OPEN,,MAINTAIN OR REPAIR ELECT ELEVA,,PLUG/COVER OLD ESCUTCHEON HOLES ON HOISTWAY DOORS,"Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)",385638,12389289,FAILED,N,PERMIT,ELEVATOR,445 E OHIO ST,445,E,OHIO,ST,2622,,41.89255916,-87.61605888,"(41.89255915853085, -87.61605888078522)"
5902777,1/4/2018,1/4/2018,CN197079,OPEN,,REPAIR/REPLACE SMOKE DETECTORS,OTHER   :    :,EAST INTERIOR STAIRWAY AND BOILER ROOM SMOKE DETECTORS - MISSING BATTERY AND COVERS.,"Repair or replace defective or out of service smoke detectors and operate continuously. (13-196-130, 13-196-140)",BL00831,12388819,FAILED,N,COMPLAINT,CONSERVATION,8156 S LOOMIS BLVD,8156,S,LOOMIS,BLVD,438478,,41.74511099,-87.65859465,"(41.74511099105036, -87.6585946445904)"
5902776,1/4/2018,1/4/2018,CN197087,OPEN,,CARB MONOX DETECT IN RESID,OTHER   :    :,BOILER ROOM - MISSING CARBON MONOXIDE DETECTOR.,"Install carbon monoxide detector within 40 feet of every sleeping room in residential structure. (13-64-190, 13-64-210) A carbon monoxide detector is needed whenever there is a heating appliance on the premises that burns fossil fuel such as gas, oil, or coal, or air that is circulated through a heat exchanger. Install according to manufacturer instructions. A hard wired model requires an electrical wiring permit. In a single family residence, be sure the detector is on or below the lowest floor with a place to sleep. In a multiple dwelling residence heated by a boiler, install a detector in the same room as the boiler. Otherwise, each apartment follows single family guidelines. The owner is responsible for installation and written instructions, the tenant for testing, maintenance, and batteries.",BL00831,12388819,FAILED,N,COMPLAINT,CONSERVATION,8156 S LOOMIS BLVD,8156,S,LOOMIS,BLVD,438478,,41.74511099,-87.65859465,"(41.74511099105036, -87.6585946445904)"
5902768,1/4/2018,1/4/2018,CN046013,OPEN,,UNAPPROVED HEATING DEVICE,OTHER   :    :,"S.F.R., USING GAS STOVE AS A HEATER.",Stop using cooking or water heating device as heating device. (13-196-400),BL00831,12388815,FAILED,N,COMPLAINT,CONSERVATION,8422 S GILBERT CT,8422,S,GILBERT,CT,452928,,41.74000346,-87.64248616,"(41.74000345598926, -87.64248615806939)"
5902767,1/4/2018,1/4/2018,CN132046,OPEN,,SAFE WORKING CONDITIONS,OTHER   :    :,FURNACE OUT OF SERVICE.,"Provide and maintain every facility, piece of equipment, or utility in safe and sound working condition. (13-196-400, 13-196-440)",BL00831,12388815,FAILED,N,COMPLAINT,CONSERVATION,8422 S GILBERT CT,8422,S,GILBERT,CT,452928,,41.74000346,-87.64248616,"(41.74000345598926, -87.64248615806939)"
5902766,1/4/2018,1/4/2018,CN132016,OPEN,,HEAT UNIT ADEQUATELY,OTHER   :    :,BEDROOM TEMP. WAS 52F.,Heat dwelling unit adequately from September 15th to June 1st. (13-196-410),BL00831,12388815,FAILED,N,COMPLAINT,CONSERVATION,8422 S GILBERT CT,8422,S,GILBERT,CT,452928,,41.74000346,-87.64248616,"(41.74000345598926, -87.64248615806939)"
5902764,1/4/2018,1/4/2018,CN132016,OPEN,,HEAT UNIT ADEQUATELY,OTHER   :    :,APARTMENT # 630-- TEMP WAS 67F.BOILER WAS ON.,Heat dwelling unit adequately from September 15th to June 1st. (13-196-410),BL00831,12388813,FAILED,N,COMPLAINT,CONSERVATION,6531 S LOWE AVE,6531,S,LOWE,AVE,19693,,41.77525733,-87.64060339,"(41.775257330487506, -87.64060339215105)"
5902757,1/4/2018,1/4/2018,CN073014,OPEN,,REPAIR EXTERIOR DOOR,OTHER   :    :,FRONT EXTERIOR DOOR - OUT OF SERVICE.,"Failed to maintain exterior door in sound condition and repair.  (13-196-550(d) and (e), 13-196-641)",282126,11682042,FAILED,N,PERIODIC,CONSERVATION,6400 N SHERIDAN RD,6400,N,SHERIDAN,RD,13368,54,41.99821792,-87.66069526,"(41.99821792053241, -87.6606952555721)"
5902756,1/4/2018,1/4/2018,CN031023,OPEN,,FIRE EXTNGSHR RECHARGE & TAG,OTHER   :    :,BUILDING THROUGHOUT /FIRE EXTINGUISHER TAGS - EXPIRED.,Failed to maintain properly charged fire extinguisher and to attach tag which clearly indicates recharge date and signature of the person who performed the recharge.  (15-16-680),282126,11682042,FAILED,N,PERIODIC,CONSERVATION,6400 N SHERIDAN RD,6400,N,SHERIDAN,RD,13368,54,41.99821792,-87.66069526,"(41.99821792053241, -87.6606952555721)"
5902755,1/4/2018,1/4/2018,CN132046,OPEN,,SAFE WORKING CONDITIONS,OTHER   :    :,"APTS. 306, 213, 209  /HEATING DEVICES BLOW OUT COLD AIR.","Provide and maintain every facility, piece of equipment, or utility in safe and sound working condition. (13-196-400, 13-196-440)",282126,11682042,FAILED,N,PERIODIC,CONSERVATION,6400 N SHERIDAN RD,6400,N,SHERIDAN,RD,13368,54,41.99821792,-87.66069526,"(41.99821792053241, -87.6606952555721)"
5902743,1/4/2018,1/4/2018,VT1010,OPEN,,ARRANGE COMPLETED PERMIT INSP.,,,"Arrange mechanical ventilation or warm air heating system final inspection when work completed. (13-12-100, 13-176-310, 13-184-140)",62127,12362460,FAILED,N,PERMIT,VENTILATION,3852 N JANSSEN AVE,3852,N,JANSSEN,AVE,146243,,41.9522479,-87.6659396,"(41.9522478982378, -87.66593960224645)"
5904424,4/2/2018,1/5/2018,EV1110,COMPLIED,3/26/2018,MAINTAIN OR REPAIR ELECT ELEVA,,UPDATE ALL MAINTENANCE & FIRE SERVICE LOGS FOR ALL ELEVATORS.,"Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)",403526,12580453,PASSED,N,PERIODIC,ELEVATOR,601 E 32ND ST,601,E,32ND,ST,21940,,41.8359761,-87.61154076,"(41.83597610218231, -87.61154076113363)"
5904423,4/2/2018,1/5/2018,EV1110,COMPLIED,3/26/2018,MAINTAIN OR REPAIR ELECT ELEVA,,REPAIR EMERGENCY LIGHT/ALARM BELL FOR WEST & FREIGHT ELEVATORS.,"Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)",403526,12580453,PASSED,N,PERIODIC,ELEVATOR,601 E 32ND ST,601,E,32ND,ST,21940,,41.8359761,-87.61154076,"(41.83597610218231, -87.61154076113363)"
5904246,3/30/2018,1/5/2018,VT1010,COMPLIED,3/30/2018,ARRANGE COMPLETED PERMIT INSP.,,,"Arrange mechanical ventilation or warm air heating system final inspection when work completed. (13-12-100, 13-176-310, 13-184-140)",402092,12396265,PASSED,N,PERMIT,VENTILATION,2525 W MEDILL AVE,2525,W,MEDILL,AVE,564867,,41.92393618,-87.69041845,"(41.92393617585762, -87.69041844759109)"
5904244,2/27/2018,1/5/2018,VT1010,OPEN,,ARRANGE COMPLETED PERMIT INSP.,,,"Arrange mechanical ventilation or warm air heating system final inspection when work completed. (13-12-100, 13-176-310, 13-184-140)",402092,12565046,PASSED,N,PERMIT,VENTILATION,2225 N KENNETH AVE,2225,N,KENNETH,AVE,93307,,41.92146689,-87.73754533,"(41.921466885273624, -87.73754532484126)"
5919241,3/9/2018,1/5/2018,CN046013,COMPLIED,3/8/2018,UNAPPROVED HEATING DEVICE,,STOP USING COOKING OR WATER HEATING DEVICE AS HEATING DEVICE  (13-196-400),Stop using cooking or water heating device as heating device. (13-196-400),CN00037,12543954,PASSED,N,COMPLAINT,CONSERVATION,8346 S MUSKEGON AVE,8346,S,MUSKEGON,AVE,451705,,41.7431975,-87.55531875,"(41.74319749936401, -87.55531874946928)"
5919236,3/9/2018,1/5/2018,CN197087,COMPLIED,3/8/2018,CARB MONOX DETECT IN RESID,,(A) MISSING CARBON MONOXIDE DETECTOR,"Install carbon monoxide detector within 40 feet of every sleeping room in residential structure. (13-64-190, 13-64-210) A carbon monoxide detector is needed whenever there is a heating appliance on the premises that burns fossil fuel such as gas, oil, or coal, or air that is circulated through a heat exchanger. Install according to manufacturer instructions. A hard wired model requires an electrical wiring permit. In a single family residence, be sure the detector is on or below the lowest floor with a place to sleep. In a multiple dwelling residence heated by a boiler, install a detector in the same room as the boiler. Otherwise, each apartment follows single family guidelines. The owner is responsible for installation and written instructions, the tenant for testing, maintenance, and batteries.",CN00037,12543954,PASSED,N,COMPLAINT,CONSERVATION,8346 S MUSKEGON AVE,8346,S,MUSKEGON,AVE,451705,,41.7431975,-87.55531875,"(41.74319749936401, -87.55531874946928)"
5919215,3/9/2018,1/5/2018,CN197087,COMPLIED,3/8/2018,CARB MONOX DETECT IN RESID,,INSTALL CARBON MONOXIDE DETECTOR WITHIN 40 FEET OF EVERY SLEEPING ROOM IN RESIDENTIAL STRUCTURE,"Install carbon monoxide detector within 40 feet of every sleeping room in residential structure. (13-64-190, 13-64-210) A carbon monoxide detector is needed whenever there is a heating appliance on the premises that burns fossil fuel such as gas, oil, or coal, or air that is circulated through a heat exchanger. Install according to manufacturer instructions. A hard wired model requires an electrical wiring permit. In a single family residence, be sure the detector is on or below the lowest floor with a place to sleep. In a multiple dwelling residence heated by a boiler, install a detector in the same room as the boiler. Otherwise, each apartment follows single family guidelines. The owner is responsible for installation and written instructions, the tenant for testing, maintenance, and batteries.",CN00037,12543954,PASSED,N,COMPLAINT,CONSERVATION,8346 S MUSKEGON AVE,8346,S,MUSKEGON,AVE,451705,,41.7431975,-87.55531875,"(41.74319749936401, -87.55531874946928)"
5919212,3/9/2018,1/5/2018,CN132016,COMPLIED,3/8/2018,HEAT UNIT ADEQUATELY,,HEAT DWELLING UNITS ADEQUATELY FROM SEPTEMBER 15TH  TO JUNE 1ST (13-196-410),Heat dwelling unit adequately from September 15th to June 1st. (13-196-410),CN00037,12543954,PASSED,N,COMPLAINT,CONSERVATION,8346 S MUSKEGON AVE,8346,S,MUSKEGON,AVE,451705,,41.7431975,-87.55531875,"(41.74319749936401, -87.55531874946928)"
5919202,3/9/2018,1/5/2018,CN046013,COMPLIED,3/8/2018,UNAPPROVED HEATING DEVICE,,(B) USING PORTABLE HEATING EQUIPMENT FLAME AND KEROSENE AS A FUEL,Stop using cooking or water heating device as heating device. (13-196-400),CN00037,12543954,PASSED,N,COMPLAINT,CONSERVATION,8346 S MUSKEGON AVE,8346,S,MUSKEGON,AVE,451705,,41.7431975,-87.55531875,"(41.74319749936401, -87.55531874946928)"
5919200,3/9/2018,1/5/2018,CN046013,COMPLIED,3/8/2018,UNAPPROVED HEATING DEVICE,,(A) USING COOKING STOVE AS HEATING DEVICE,Stop using cooking or water heating device as heating device. (13-196-400),CN00037,12543954,PASSED,N,COMPLAINT,CONSERVATION,8346 S MUSKEGON AVE,8346,S,MUSKEGON,AVE,451705,,41.7431975,-87.55531875,"(41.74319749936401, -87.55531874946928)"
5919198,3/9/2018,1/5/2018,CN132046,COMPLIED,3/8/2018,SAFE WORKING CONDITIONS,,(B) FURNACE OUT OF SERVICE AT TIME OF INSPECTION,"Provide and maintain every facility, piece of equipment, or utility in safe and sound working condition. (13-196-400, 13-196-440)",CN00037,12543954,PASSED,N,COMPLAINT,CONSERVATION,8346 S MUSKEGON AVE,8346,S,MUSKEGON,AVE,451705,,41.7431975,-87.55531875,"(41.74319749936401, -87.55531874946928)"
5919197,3/9/2018,1/5/2018,CN132016,COMPLIED,3/8/2018,HEAT UNIT ADEQUATELY,,(A) LIVING ROOM 39.7 1ST BEDROOM 59.7   2ND 62F HEATING SYSTEM OFF AT TME OF INSPECTION,Heat dwelling unit adequately from September 15th to June 1st. (13-196-410),CN00037,12543954,PASSED,N,COMPLAINT,CONSERVATION,8346 S MUSKEGON AVE,8346,S,MUSKEGON,AVE,451705,,41.7431975,-87.55531875,"(41.74319749936401, -87.55531874946928)"
5904082,3/7/2018,1/5/2018,EV1110,COMPLIED,3/6/2018,MAINTAIN OR REPAIR ELECT ELEVA,,VENTILATION,"Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)",BL00957,12389929,FAILED,N,PERMIT,ELEVATOR,711 W GORDON TER,711,W,GORDON,TER,10117,,41.95776999,-87.64788499,"(41.957769985730344, -87.64788498465117)"
5904081,1/5/2018,1/5/2018,EV1110,OPEN,,MAINTAIN OR REPAIR ELECT ELEVA,,FINISH MOD ON SECOND CAR,"Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)",BL00957,12389929,FAILED,N,PERMIT,ELEVATOR,711 W GORDON TER,711,W,GORDON,TER,10117,,41.95776999,-87.64788499,"(41.957769985730344, -87.64788498465117)"
5904080,3/7/2018,1/5/2018,EV1110,COMPLIED,3/6/2018,MAINTAIN OR REPAIR ELECT ELEVA,,INSTALL ALL MACH. GUARDS,"Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)",BL00957,12389929,FAILED,N,PERMIT,ELEVATOR,711 W GORDON TER,711,W,GORDON,TER,10117,,41.95776999,-87.64788499,"(41.957769985730344, -87.64788498465117)"
5904079,3/7/2018,1/5/2018,EV1110,COMPLIED,3/6/2018,MAINTAIN OR REPAIR ELECT ELEVA,,PROVIDE FIRE RATED MACH. RM WITH DOOR,"Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)",BL00957,12389929,FAILED,N,PERMIT,ELEVATOR,711 W GORDON TER,711,W,GORDON,TER,10117,,41.95776999,-87.64788499,"(41.957769985730344, -87.64788498465117)"
5904078,1/5/2018,1/5/2018,EV1110,OPEN,,MAINTAIN OR REPAIR ELECT ELEVA,,CITY FIRE RECALL TEST,"Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)",BL00957,12389929,FAILED,N,PERMIT,ELEVATOR,711 W GORDON TER,711,W,GORDON,TER,10117,,41.95776999,-87.64788499,"(41.957769985730344, -87.64788498465117)"
5942441,3/1/2018,1/5/2018,VT3020,OPEN,,MAINTAIN MECH. VENT SYSTEM,,MAINTAIN HEATING EQUIP 53-56 DEGREE'S,Maintain mechanical ventilation system in good repair and operate to provide adequate ventilation during hours of occupancy. (13-176-300),BL00781,12567275,FAILED,N,COMPLAINT,VENTILATION,6312 N NAGLE AVE,6312,N,NAGLE,AVE,226296,,41.99598529,-87.78763712,"(41.99598528606219, -87.78763711707086)"
5942402,3/1/2018,1/5/2018,CN194029,OPEN,,PROVIDE,,MAINTAIN MIN 68 DEGREE'S DURING OCCUPANCY,Provide,BL00781,12567275,FAILED,N,COMPLAINT,VENTILATION,6312 N NAGLE AVE,6312,N,NAGLE,AVE,226296,,41.99598529,-87.78763712,"(41.99598528606219, -87.78763711707086)"
5919296,2/27/2018,1/5/2018,CN104075,OPEN,,WINDOW REPAIR FOR AIR SEEPAGE,,FRONT WINDOWS DRAFTY 2ND FLR APT,Failed to maintain windows in relation to the adjacent wall construction as to completely exclude rain and substantially exclude wind from entering the premises.  (13-196-550(f)),33719,12544007,FAILED,N,COMPLAINT,CONSERVATION,4826 S THROOP ST,4826,S,THROOP,ST,321285,,41.80605201,-87.65775356,"(41.80605200915145, -87.65775356356536)"
5919294,2/27/2018,1/5/2018,CN046013,OPEN,,UNAPPROVED HEATING DEVICE,,USING PORTABLE HEATERS 2ND FLOOR APT,Stop using cooking or water heating device as heating device. (13-196-400),33719,12544007,FAILED,N,COMPLAINT,CONSERVATION,4826 S THROOP ST,4826,S,THROOP,ST,321285,,41.80605201,-87.65775356,"(41.80605200915145, -87.65775356356536)"
5919289,2/27/2018,1/5/2018,CN132026,OPEN,,HEAT HABITABLE ROOM,FRONT WINDOWS DRAFTY USING PORTABLE HEATER BEDROOM 1 @ 74 DEGREE'S FURNACE NEED SERVICING LIVING ROOM 74 DEGREE'S BEDROOM 3 @ 64 DEGREE'S,BEDROOM 3 @ 64 DEGREE'S 2ND FLR APT,Heat habitable rooms and bathroom of family unit safely to 65 degrees F when outside temperature 10 degrees below zero F. (13-196-400),33719,12544007,FAILED,N,COMPLAINT,CONSERVATION,4826 S THROOP ST,4826,S,THROOP,ST,321285,,41.80605201,-87.65775356,"(41.80605200915145, -87.65775356356536)"
5903629,1/5/2018,1/5/2018,PL151137,OPEN,,OPEN,,,,47222,12389593,PASSED,N,PERMIT,PLUMBING,2127 N SHEFFIELD AVE,2127,N,SHEFFIELD,AVE,85240,,41.92074898,-87.6533093,"(41.92074898084341, -87.65330929742396)"
5929131,2/7/2018,1/5/2018,VT8020,OPEN,,STOP NUISANCE TO NEIGHBORS,,7-28-060 CONDITIONS DETRIMENTAL TO HEALTH PUBLIC NUISANCE VIOLATION  7-28-080 NUISANCE IN CONNECTION WITH BUSINESS,"Stop nuisance to neighbors. (7-28-010, 7-28-020, 7-28-030, 7-28-060, 7-28-080)",BL00989,12556461,FAILED,N,COMPLAINT,VENTILATION,8900 S LAFAYETTE AVE,8900,S,LAFAYETTE,AVE,21392,,41.73259014,-87.62548578,"(41.732590136822296, -87.62548577469329)"
5929130,2/7/2018,1/5/2018,199029,OPEN,,OPEN TYPE VIOLATION,,(VT 8011) HEAT REQUIRED MUST MAINTIN 68 DEGREE'S IN PLACES OF EMPLOYMENT  13-18-750,,BL00989,12556461,FAILED,N,COMPLAINT,VENTILATION,8900 S LAFAYETTE AVE,8900,S,LAFAYETTE,AVE,21392,,41.73259014,-87.62548578,"(41.732590136822296, -87.62548577469329)"
5929129,2/7/2018,1/5/2018,VT1010,OPEN,,ARRANGE COMPLETED PERMIT INSP.,,INSPECTION REQUIRED ARRANGE FOR COMPLETE INSPECTION WHEN WORK IS COMPLETED,"Arrange mechanical ventilation or warm air heating system final inspection when work completed. (13-12-100, 13-176-310, 13-184-140)",BL00989,12556461,FAILED,N,COMPLAINT,VENTILATION,8900 S LAFAYETTE AVE,8900,S,LAFAYETTE,AVE,21392,,41.73259014,-87.62548578,"(41.732590136822296, -87.62548577469329)"
5927288,2/5/2018,1/5/2018,CN132016,OPEN,,HEAT UNIT ADEQUATELY,,TEMP 74 F LIVING RM HEATING SYSTEMS IN ON AT TIME OF INSPECTION HEAT IS INSUFFICIENT,Heat dwelling unit adequately from September 15th to June 1st. (13-196-410),402092,12554805,FAILED,N,COMPLAINT,CONSERVATION,2443 N NEWCASTLE AVE,2443,N,NEWCASTLE,AVE,110278,,41.92486708,-87.79635626,"(41.92486708128024, -87.79635625851577)"
5927287,2/5/2018,1/5/2018,CN197087,OPEN,,CARB MONOX DETECT IN RESID,,MISSING CARBON MONOXIDE DETECTOR UNIT 1,"Install carbon monoxide detector within 40 feet of every sleeping room in residential structure. (13-64-190, 13-64-210) A carbon monoxide detector is needed whenever there is a heating appliance on the premises that burns fossil fuel such as gas, oil, or coal, or air that is circulated through a heat exchanger. Install according to manufacturer instructions. A hard wired model requires an electrical wiring permit. In a single family residence, be sure the detector is on or below the lowest floor with a place to sleep. In a multiple dwelling residence heated by a boiler, install a detector in the same room as the boiler. Otherwise, each apartment follows single family guidelines. The owner is responsible for installation and written instructions, the tenant for testing, maintenance, and batteries.",402092,12554805,FAILED,N,COMPLAINT,CONSERVATION,2443 N NEWCASTLE AVE,2443,N,NEWCASTLE,AVE,110278,,41.92486708,-87.79635626,"(41.92486708128024, -87.79635625851577)"
5927286,2/5/2018,1/5/2018,CN197019,OPEN,,INSTALL SMOKE DETECTORS,,MISSING SMOKE DETECTOR UNIT 1,"Install and maintain approved smoke detectors. (13-196-100 thru 13-196-160) Install a smoke detector in every dwelling unit. Install one on any living level with a habitable room or unenclosed heating plant, on the uppermost ceiling of enclosed porch stairwell, and within 15 feet of every sleeping room. Be sure the detector is at least 4 inches from the wall, 4 to 12 inches from the ceiling, and not above door or window.",402092,12554805,FAILED,N,COMPLAINT,CONSERVATION,2443 N NEWCASTLE AVE,2443,N,NEWCASTLE,AVE,110278,,41.92486708,-87.79635626,"(41.92486708128024, -87.79635625851577)"
5904359,2/5/2018,1/5/2018,VT1010,COMPLIED,2/1/2018,ARRANGE COMPLETED PERMIT INSP.,,,"Arrange mechanical ventilation or warm air heating system final inspection when work completed. (13-12-100, 13-176-310, 13-184-140)",402092,12390194,PASSED,N,PERMIT,VENTILATION,41 W CONGRESS PKWY,41,W,CONGRESS,PKWY,14957,,41.87551674,-87.62921008,"(41.875516737315145, -87.62921007870848)"
5905340,1/9/2018,1/5/2018,EL0085,OPEN,,,,INSTALLED NON-FUSIBLE MAIN SERVICE DISCONNECT FOR EXISTING 400 AMP SERVICE AT NORTHEAST BASEMENT. 18-237-230.66,,538914,12390936,FAILED,N,PERMIT,ELECTRICAL,2238 E 71ST ST,2238,E,71ST,ST,25339,42,41.7664125,-87.56980567,"(41.766412497426685, -87.56980566515743)"
