14-DigitPINNumber,StreetNumber,Dir.,StreetName,Type,Sq.Ft.,Ward,CommunityArea,ZoningClassification,TIFDistrict,Location
20-04-118-004-0000,4150,S,UNION,,"2,501",11,NEW CITY,C1-5,47th/Halsted,"4150 S UNION
CHICAGO, IL
"
20-04-201-007-0000,3916,S,WELLS,,"3,056",3,FULLER PARK,RT-4,Stockyards Annex,"3916 S WELLS
CHICAGO, IL
"
20-05-300-029-0000,4401,S,LOOMIS,,"20,942",11,NEW CITY,PMD 8,47th/Ashland,"4401 S LOOMIS
CHICAGO, IL
"
20-06-200-074-0000,,,,,"137,773",12,NEW CITY,PD 905,35th/Halsted,
20-06-400-008-0000,0,W,46TH,ST,"366,612",12,NEW CITY,PMD 8,NOT IN TIF,"0 W 46TH ST
CHICAGO, IL
"
20-09-202-034-0000,,,,,"3,056",3,FULLER PARK,RS-3,47th/Halsted,
20-09-219-044-0000,5052,S,WELLS,,"3,111",3,FULLER PARK,B1-1,47th/Halsted,"5052 S WELLS
CHICAGO, IL
"
20-09-414-019-0000,5453,S,STEWART,AVE,"3,353",3,FULLER PARK,M1-2,47th/Halsted,"5453 S STEWART AVE
CHICAGO, IL
"
20-10-105-004-0000,4700,S,DR MARTIN LUTHER KING JR,DR,"7,452",3,GRAND BOULEVARD,B1-5,47th/King,"4700 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-10-105-005-0000,4706,S,DR MARTIN LUTHER KING JR,DR,"5,010",3,GRAND BOULEVARD,B1-5,47th/King,"4706 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-10-123-017-0000,5000,S,DR MARTIN LUTHER KING JR,DR,"14,751",3,GRAND BOULEVARD,B3-3,47th/King,"5000 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-10-210-035-0000,554,E,49TH /S.ST. LAWRENCE,ST,"3,382",4,GRAND BOULEVARD,RM-5,49th/St Lawrence,"554 E 49TH S ST LAWRENCE ST
CHICAGO, IL
"
20-10-306-035-0000,5204,S,DR MARTIN LUTHER KING JR,DR,"6,539",3,WASHINGTON PARK,RM-5,47th/State,"5204 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-15-106-018-0000,5520,S,DR MARTIN LUTHER KING JR,DR,"10,964",20,WASHINGTON PARK,RM-5,Washington Park,"5520 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-15-106-020-0000,5530,S,DR MARTIN LUTHER KING JR,DR,"4,381",20,WASHINGTON PARK,RM-5,Washington Park,"5530 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-15-106-021-0000,5530,S,DR MARTIN LUTHER KING JR,DR,"4,378",20,WASHINGTON PARK,RM-5,Washington Park,"5530 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-15-106-023-0000,5538,S,DR MARTIN LUTHER KING JR,DR,"11,051",20,WASHINGTON PARK,RM-5,Washington Park,"5538 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-15-117-027-0000,,,,,"2,509",20,WASHINGTON PARK,B3-3,Washington Park,
20-15-118-013-0000,5700,S,DR MARTIN LUTHER KING JR,DR,"23,837",20,WASHINGTON PARK,RM-5,Washington Park,"5700 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-15-124-015-0000,5800,S,DR MARTIN LUTHER KING JR,DR,"4,551",20,WASHINGTON PARK,RM-5,Washington Park,"5800 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-15-124-016-0000,5800,S,DR MARTIN LUTHER KING JR,DR,"13,046",20,WASHINGTON PARK,RM-5,Washington Park,"5800 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-15-124-019-0000,5816,S,DR MARTIN LUTHER KING JR,DR,"8,887",20,WASHINGTON PARK,RM-5,Washington Park,"5816 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-15-124-020-0000,5820,S,DR MARTIN LUTHER KING JR,DR,"4,443",20,WASHINGTON PARK,RM-5,Washington Park,"5820 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-15-124-021-0000,5824,S,DR MARTIN LUTHER KING JR,DR,"4,443",20,WASHINGTON PARK,RM-5,Washington Park,"5824 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-15-124-024-0000,5830,S,DR MARTIN LUTHER KING JR,DR,"11,204",20,WASHINGTON PARK,RM-5,Washington Park,"5830 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-15-124-029-0000,5842,S,DR MARTIN LUTHER KING JR,DR,"5,500",20,WASHINGTON PARK,RM-5,Washington Park,"5842 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-15-311-013-0000,6012,S,DR MARTIN LUTHER KING JR,DR,"11,229",20,WASHINGTON PARK,RM-5,Washington Park,"6012 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-15-311-014-0000,6018,S,KING DR,DR,"8,801",20,WASHINGTON PARK,RM-5,Washington Park,"6018 S KING DR DR
CHICAGO, IL
"
20-15-311-016-0000,6036,S,KING DR,DR,"22,585",20,WASHINGTON PARK,RM-5,Washington Park,"6036 S KING DR DR
CHICAGO, IL
"
20-15-401-001-0000,6005,S,KING DR,DR,"13,611",20,WOODLAWN,RM-5,West Woodlawn,"6005 S KING DR DR
CHICAGO, IL
"
20-15-401-010-0000,6029,S,KING DR,DR,"7,566",20,WOODLAWN,RM-5,West Woodlawn,"6029 S KING DR DR
CHICAGO, IL
"
20-15-408-008-0000,6141,S,DR MARTIN LUTHER KING JR,DR,"6,095",20,WOODLAWN,RM-5,West Woodlawn,"6141 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-16-101-047-0000,5540,S,UNION,,"4,400",20,ENGLEWOOD,RS-3,NOT IN TIF,"5540 S UNION
CHICAGO, IL
"
20-16-202-055-0000,5540,S,WELLS,,"3,070",3,ENGLEWOOD,RS-3,NOT IN TIF,"5540 S WELLS
CHICAGO, IL
"
20-16-205-005-0000,,,,,"5,168",3,ENGLEWOOD,RS-3,Washington Park,
20-16-300-010-0000,5925,S,HALE,,"2,801",16,ENGLEWOOD,B2-2,Englewood Neighborhood,"5925 S HALE
CHICAGO, IL
"
20-16-300-079-0000,,,,,"2,777",20,ENGLEWOOD,RS-3,Englewood Neighborhood,
20-16-300-091-0000,5960,S,UNION,,"2,823",20,ENGLEWOOD,RS-3,Englewood Neighborhood,"5960 S UNION
CHICAGO, IL
"
20-16-307-026-0000,718,W,59TH,PL,"3,166",16,ENGLEWOOD,RS-3,Englewood Neighborhood,"718 W 59TH PL
CHICAGO, IL
"
20-16-318-007-0000,6155,S,HALSTED,PKWY,"7,265",16,ENGLEWOOD,PD 560,Englewood Mall,"6155 S HALSTED PKWY
CHICAGO, IL
"
20-16-318-045-0000,734,W,62ND,ST,"3,537",16,ENGLEWOOD,RS-3,Englewood Mall,"734 W 62ND ST
CHICAGO, IL
"
20-16-318-054-0000,708,W,62ND,ST,"5,050",16,ENGLEWOOD,RS-3,Englewood Neighborhood,"708 W 62ND ST
CHICAGO, IL
"
20-16-318-095-0000,6153,S,HALSTED,PKWY,"5,334",16,ENGLEWOOD,PD 560,Englewood Mall,"6153 S HALSTED PKWY
CHICAGO, IL
"
20-16-411-026-0000,6022,S,LA SALLE,,"3,113",20,ENGLEWOOD,RS-3,Washington Park,"6022 S LA
CHICAGO, IL
"
20-16-412-011-0000,6031,S,LA SALLE,,"5,508",20,ENGLEWOOD,RS-3,Washington Park,"6031 S LA
CHICAGO, IL
"
20-17-128-005-0000,5829,S,LOOMIS,ST,"3,325",16,WEST ENGLEWOOD,M1-1,NOT IN TIF,"5829 S LOOMIS ST
CHICAGO, IL
"
20-17-128-006-0000,5831,S,LOOMIS,ST,"9,974",16,WEST ENGLEWOOD,M1-1,NOT IN TIF,"5831 S LOOMIS ST
CHICAGO, IL
"
20-17-128-007-0000,5845,S,LOOMIS,ST,"7,586",16,WEST ENGLEWOOD,M1-1,NOT IN TIF,"5845 S LOOMIS ST
CHICAGO, IL
"
20-17-128-009-0000,5844,S,LOOMIS,ST,"4,259",16,WEST ENGLEWOOD,M1-1,NOT IN TIF,"5844 S LOOMIS ST
CHICAGO, IL
"
20-17-205-005-0000,,,,,"5,009",16,ENGLEWOOD,RT-4,Englewood Neighborhood,
20-17-219-010-0000,,,,,"3,133",16,ENGLEWOOD,RS-3,Englewood Neighborhood,
20-17-329-010-0000,6227,S,LOOMIS,ST,"2,924",16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6227 S LOOMIS ST
CHICAGO, IL
"
20-19-108-026-0000,,,,,"2,999",16,CHICAGO LAWN,RS-2,NOT IN TIF,
20-17-418-025-0000,,,,,"3,163",16,ENGLEWOOD,RS-3,Englewood Neighborhood,
20-17-430-023-0000,6220,S,GREEN,,"3,092",16,ENGLEWOOD,PD 1227,Englewood Mall,"6220 S GREEN
CHICAGO, IL
"
20-19-221-013-0000,0,S,HERMITAGE,,"3,678",15,WEST ENGLEWOOD,RS-3,NOT IN TIF,"0 S HERMITAGE
CHICAGO, IL
"
20-20-110-033-0000,,,,,"3,111",16,WEST ENGLEWOOD,RS-3,NOT IN TIF,
20-20-201-013-0000,,,,,"3,111",16,ENGLEWOOD,RS-3,Englewood Neighborhood,
20-20-217-032-0000,,,,,"2,799",16,ENGLEWOOD,RS-3,Englewood Neighborhood,
20-20-319-029-0000,6916,S,LOOMIS,ST,"3,116",6,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6916 S LOOMIS ST
CHICAGO, IL
"
20-20-406-028-0000,6714,S,GREEN,,"3,129",6,ENGLEWOOD,RS-3,NOT IN TIF,"6714 S GREEN
CHICAGO, IL
"
20-20-407-045-0000,,,,,"4,233",6,ENGLEWOOD,B3-2,67th/Wentworth,
20-20-415-019-0000,6843,S,GREEN,,"2,998",6,ENGLEWOOD,RS-3,67th/Wentworth,"6843 S GREEN
CHICAGO, IL
"
20-20-431-003-0000,7007,S,GREEN,,"4,277",6,ENGLEWOOD,RT-4,67th/Wentworth,"7007 S GREEN
CHICAGO, IL
"
20-21-105-031-0000,6330,S,NORMAL,AVE,"2,764",20,ENGLEWOOD,RT-4,Englewood Neighborhood,"6330 S NORMAL AVE
CHICAGO, IL
"
20-21-105-037-0000,6356,S,NORMAL,AVE,"4,690",20,ENGLEWOOD,RT-4,Englewood Neighborhood,"6356 S NORMAL AVE
CHICAGO, IL
"
20-21-112-035-0000,6450,S,NORMAL,AVE,"3,751",20,ENGLEWOOD,RT-4,Englewood Neighborhood,"6450 S NORMAL AVE
CHICAGO, IL
"
20-21-113-004-0000,6411,S,NORMAL,AVE,"3,157",20,ENGLEWOOD,RT-4,Englewood Neighborhood,"6411 S NORMAL AVE
CHICAGO, IL
"
20-21-113-010-0000,6433,S,NORMAL,AVE,"4,785",20,ENGLEWOOD,RT-4,Englewood Neighborhood,"6433 S NORMAL AVE
CHICAGO, IL
"
20-21-113-013-0000,6441,S,NORMAL,AVE,"3,166",20,ENGLEWOOD,RT-4,Englewood Neighborhood,"6441 S NORMAL AVE
CHICAGO, IL
"
20-21-113-015-0000,6447,S,NORMAL,AVE,"2,946",20,ENGLEWOOD,RT-4,Englewood Neighborhood,"6447 S NORMAL AVE
CHICAGO, IL
"
20-21-113-016-0000,6447,S,NORMAL,AVE,"1,005",20,ENGLEWOOD,RT-4,Englewood Neighborhood,"6447 S NORMAL AVE
CHICAGO, IL
"
20-21-113-018-0000,6453,S,NORMAL,AVE,"4,652",20,ENGLEWOOD,RT-4,Englewood Neighborhood,"6453 S NORMAL AVE
CHICAGO, IL
"
20-21-307-019-0000,6800,S,UNION,,"7,868",6,ENGLEWOOD,RT-4,67th/Wentworth,"6800 S UNION
CHICAGO, IL
"
20-21-315-008-0000,6915,S,UNION,,"4,661",6,ENGLEWOOD,RS-3,67th/Wentworth,"6915 S UNION
CHICAGO, IL
"
20-21-317-005-0000,0,S,PARNELL,,"6,253",6,ENGLEWOOD,RT-4,67th/Wentworth,"0 S PARNELL
CHICAGO, IL
"
20-22-407-053-0000,6728,S.,ANTHONY,AVE,"2,772",20,GREATER GRAND CROSSING,M1-2,NOT IN TIF,"6728 S ANTHONY AVE
CHICAGO, IL
"
20-22-424-038-0000,6962,,COTTAGE GROVE,,"22,208",6,WOODLAWN,M1-2,67th/Wentworth,"6962 COTTAGE GROVE
CHICAGO, IL
"
20-23-204-005-0000,,,,,"1,154",20,WOODLAWN,RM-5,Woodlawn,
20-23-408-019-0000,6830,S,BLUE ISLAND,AVE,"21,446",5,SOUTH SHORE,B3-3,71st/Stony Island,"6830 S BLUE ISLAND AVE
CHICAGO, IL
"
20-23-408-020-0000,6840,S,BLUE ISLAND,AVE,"10,855",5,SOUTH SHORE,B3-3,71st/Stony Island,"6840 S BLUE ISLAND AVE
CHICAGO, IL
"
20-28-316-007-0000,7721,S,UNION,,"6,071",6,AUBURN GRESHAM,RS-3,79th/Vincennes,"7721 S UNION
CHICAGO, IL
"
20-29-209-005-0000,,,,,"3,118",6,ENGLEWOOD,RT-4,NOT IN TIF,
20-29-214-035-0000,7228,S,GREEN,,"3,118",6,ENGLEWOOD,RS-3,NOT IN TIF,"7228 S GREEN
CHICAGO, IL
"
20-29-310-017-0000,,,76TH AND RACINE,,"17,259",17,AUBURN GRESHAM,PD 330,79th Street Corridor,
20-29-431-037-0000,,,,,"11,204",17,AUBURN GRESHAM,B3-1,NOT IN TIF,
20-35-123-036-0000,,,,,"4,117",8,CHATHAM,RT-4,NOT IN TIF,
21-31-106-023-0000,,,,,"2,984",7,SOUTH CHICAGO,RT-4,NOT IN TIF,
21-31-207-040-0000,7901,S,SHORE,DR,"8,744",7,SOUTH CHICAGO,B3-3,Avalon Park/South Shore,"7901 S SHORE DR
CHICAGO, IL
"
21-32-206-033-0000,,,,,"3,099",10,SOUTH CHICAGO,RT-4,South Chicago,
25-04-412-018-0000,9442,S,LA SALLE,,"6,959",21,ROSELAND,RS-3/RS-2,NOT IN TIF,"9442 S LA
CHICAGO, IL
"
25-05-119-019-0000,,,89TH AND LOOMIS,,"6,255",21,WASHINGTON HEIGHTS,B3-1,NOT IN TIF,
25-05-119-028-0000,,,89TH AND LOOMIS,,"3,131",21,WASHINGTON HEIGHTS,B3-1,NOT IN TIF,
25-05-119-029-0000,,,89TH AND LOOMIS,,"3,125",21,WASHINGTON HEIGHTS,RS-2,NOT IN TIF,
25-09-427-020-0000,,,,,"3,095",9,ROSELAND,RS-2,NOT IN TIF,
25-11-100-027-0000,9705,S,COTTAGE GROVE,,"21,689",8,PULLMAN,M1-2,Stony Island/Burnside,"9705 S COTTAGE GROVE
CHICAGO, IL
"
25-11-100-039-0000,9705,S,COTTAGE GROVE,,"10,459",8,PULLMAN,M1-2,Stony Island/Burnside,"9705 S COTTAGE GROVE
CHICAGO, IL
"
25-15-311-038-0000,10853,S,EDGEBROOK,,"4,251",9,ROSELAND,RS-3,Roseland/Michigan,"10853 S EDGEBROOK
CHICAGO, IL
"
25-16-500-005-0000,,,,,"17,969",34,ROSELAND,M1-1,NOT IN TIF,
25-16-500-006-0000,,,,,"19,967",34,ROSELAND,M1-1,NOT IN TIF,
25-16-500-007-0000,,,,,"6,637",34,ROSELAND,RS-2,NOT IN TIF,
25-20-218-005-0000,,,,,"3,133",34,MORGAN PARK,RS-2,NOT IN TIF,
25-20-404-007-0000,0,,115TH,ST,"25,935",34,WEST PULLMAN,PD 1016,119th/Halsted with Amendment,"0 115TH ST
CHICAGO, IL
"
25-20-412-021-0000,11629,S,GREEN,ST,"8,575",34,WEST PULLMAN,RS-3,119th/Halsted with Amendment,"11629 S GREEN ST
CHICAGO, IL
"
25-20-414-006-0000,1000,E,118TH,ST,"169,243",34,WEST PULLMAN,PMD 10,NOT IN TIF,"1000 E 118TH ST
CHICAGO, IL
"
25-20-419-010-0000,11827,S,RACINE,AVE,"3,571",34,WEST PULLMAN,PMD 10,NOT IN TIF,"11827 S RACINE AVE
CHICAGO, IL
"
25-20-419-011-0000,11829,S,RACINE,AVE,"3,575",34,WEST PULLMAN,PMD 10,NOT IN TIF,"11829 S RACINE AVE
CHICAGO, IL
"
25-21-307-023-0000,,,,,"6,890",34,WEST PULLMAN,RS-2,NOT IN TIF,
25-21-323-004-0000,,,,,"3,407",34,WEST PULLMAN,RS-2,NOT IN TIF,
25-21-330-002-0000,11805,S,UNION,,"3,705",34,WEST PULLMAN,RS-3,NOT IN TIF,"11805 S UNION
CHICAGO, IL
"
25-21-404-036-0000,11530,S,LA SALLE,,"3,011",34,WEST PULLMAN,RS-3,NOT IN TIF,"11530 S LA
CHICAGO, IL
"
25-21-404-037-0000,11530,S,LA SALLE,,"3,014",34,WEST PULLMAN,RS-3,NOT IN TIF,"11530 S LA
CHICAGO, IL
"
25-21-405-008-0000,11500,S,PERRY,ST,"6,564",34,WEST PULLMAN,RS-3,107th/Halsted,"11500 S PERRY ST
CHICAGO, IL
"
25-21-414-014-0000,,,,,"3,404",34,WEST PULLMAN,RS-3,NOT IN TIF,
25-22-103-041-0000,11117,S,EDGEBROOK,AVE,"3,522",9,ROSELAND,RT-4,NOT IN TIF,"11117 S EDGEBROOK AVE
CHICAGO, IL
"
25-22-228-022-0000,,,,,"50,766",9,PULLMAN,M1-1,NOT IN TIF,
25-24-101-002-0000,11606,S,CHIPPEWA,AVE,"9,680",10,SOUTH DEERING,M3-3,Lake Calumet Ind. Corridor,"11606 S CHIPPEWA AVE
CHICAGO, IL
"
25-24-103-049-0000,11631,S,JEFFERY,AVE,"148,410",10,SOUTH DEERING,M3-3,Lake Calumet Ind. Corridor,"11631 S JEFFERY AVE
CHICAGO, IL
"
25-24-205-004-0000,11628,S,YATES,AVE,"3,123",10,SOUTH DEERING,M3-3,Lake Calumet Ind. Corridor,"11628 S YATES AVE
CHICAGO, IL
"
25-24-205-007-0000,11634,S,YATES,AVE,"3,125",10,SOUTH DEERING,M3-3,Lake Calumet Ind. Corridor,"11634 S YATES AVE
CHICAGO, IL
"
25-24-205-017-0000,11630,S,YATES,AVE,"6,244",10,SOUTH DEERING,M3-3,Lake Calumet Ind. Corridor,"11630 S YATES AVE
CHICAGO, IL
"
25-24-205-018-0000,11638,S,YATES,AVE,"6,246",10,SOUTH DEERING,M3-3,Lake Calumet Ind. Corridor,"11638 S YATES AVE
CHICAGO, IL
"
25-24-205-020-0000,11652,S,YATES,AVE,"5,869",10,SOUTH DEERING,M3-3,Lake Calumet Ind. Corridor,"11652 S YATES AVE
CHICAGO, IL
"
